iter	Logloss
0	0.5880308539
1	0.5122706491
2	0.4611818329
3	0.4189708299
4	0.3879778481
5	0.3680368663
6	0.3483686859
7	0.3339349173
8	0.3235203037
9	0.3163031999
10	0.3080012536
11	0.3020640545
12	0.2968813348
13	0.2914353191
14	0.2878641193
15	0.2835793341
16	0.2807789508
17	0.2768254764
18	0.2748786601
19	0.2714385006
20	0.2684820841
21	0.2661682879
22	0.2644048459
23	0.2627076905
24	0.2610483069
25	0.2594447894
26	0.2582329451
27	0.2569140744
28	0.2559843798
29	0.2535816833
30	0.2523191127
31	0.2516355923
32	0.2499649402
33	0.2486325586
34	0.2475313748
35	0.2468557282
36	0.2459706646
37	0.2452339625
38	0.2445200158
39	0.2437032657
40	0.2428405518
41	0.2419796244
42	0.2411221632
43	0.2405079084
44	0.239978278
45	0.2391049149
46	0.2384242679
47	0.2377723624
48	0.2371675586
49	0.2367122138
50	0.2360911345
51	0.2355114877
52	0.2350615678
53	0.2344830582
54	0.2339519955
55	0.2333126133
56	0.2328488958
57	0.2321263292
58	0.2315482314
59	0.2311265604
60	0.2306974019
61	0.2303883414
62	0.2298959499
63	0.2294879562
64	0.229073077
65	0.2286709058
66	0.2280914862
67	0.2276420968
68	0.2271764697
69	0.22685608
70	0.2264258609
71	0.2261541088
72	0.2257807696
73	0.2254665477
74	0.2251165425
75	0.2247375561
76	0.2244313665
77	0.2241303564
78	0.2236623751
79	0.223346988
80	0.2229630034
81	0.2226280221
82	0.2222835937
83	0.2219540336
84	0.2216799485
85	0.2214823198
86	0.2211790273
87	0.2208393917
88	0.2203571982
89	0.2200815001
90	0.2199183687
91	0.2194864787
92	0.2192132471
93	0.2189546754
94	0.2186785486
95	0.2183408544
96	0.217951307
97	0.2177004703
98	0.2174192596
99	0.2170745938
100	0.2167813953
101	0.2163760893
102	0.2160525563
103	0.215824223
104	0.2155923415
105	0.215229513
106	0.2148797398
107	0.2144056998
108	0.2140186473
109	0.2136412999
110	0.2133961662
111	0.213199417
112	0.2128139567
113	0.2125912191
114	0.2123999813
115	0.2120880696
116	0.2118916518
117	0.2116006383
118	0.2113845077
119	0.2111940024
120	0.2109788806
121	0.2107546933
122	0.2106024953
123	0.2102932161
124	0.2100903326
125	0.2097469548
126	0.2095828809
127	0.209314734
128	0.2090987569
129	0.2086526942
130	0.2083568976
131	0.2081943017
132	0.207944005
133	0.2076546946
134	0.2075349927
135	0.2073210018
136	0.2069348716
137	0.2066362829
138	0.2063331897
139	0.20611839
140	0.2059203665
141	0.2057596818
142	0.2055528814
143	0.2054348182
144	0.2051799545
145	0.2049588753
146	0.2047998999
147	0.2044589391
148	0.2042377284
149	0.204040993
150	0.2037507718
151	0.20356894
152	0.2033785407
153	0.2032587496
154	0.2031519425
155	0.2029687469
156	0.2027507775
157	0.2024576738
158	0.2023037838
159	0.2020398957
160	0.2018649231
161	0.2016469371
162	0.2014798533
163	0.2012829348
164	0.2010301604
165	0.2008380663
166	0.2006055675
167	0.2004952026
168	0.2002848607
169	0.2001073527
170	0.199906453
171	0.1997668038
172	0.1994912788
173	0.1992889629
174	0.1991996724
175	0.1989071671
176	0.1987147792
177	0.1986066398
178	0.1983379603
179	0.1981123278
180	0.1979072696
181	0.197763644
182	0.1976883802
183	0.1975492705
184	0.1973546434
185	0.1971649367
186	0.1970476274
187	0.1969597079
188	0.1968380322
189	0.1966501974
190	0.196505778
191	0.1963459654
192	0.196104626
193	0.195951326
194	0.1957775525
195	0.1956638454
196	0.1954900809
197	0.1953380173
198	0.1951746501
199	0.1950340987
200	0.1948545239
201	0.1947580379
202	0.1944081547
203	0.1942971431
204	0.1941043159
205	0.1940502399
206	0.1938376701
207	0.1936469159
208	0.193434393
209	0.1933074696
210	0.1931982172
211	0.1931411189
212	0.1929365689
213	0.192718975
214	0.1925098043
215	0.1923286838
216	0.1921688944
217	0.1920349779
218	0.1918691571
219	0.191777392
220	0.191620694
221	0.1914970084
222	0.191389029
223	0.1912839292
224	0.1910713092
225	0.1909442595
226	0.190732174
227	0.1905501852
228	0.1904266945
229	0.1902128633
230	0.1900297207
231	0.1899081113
232	0.1898043543
233	0.1897296035
234	0.189568929
235	0.1894056309
236	0.1893272775
237	0.1891194137
238	0.1890078631
239	0.1889005083
240	0.1888419789
241	0.1887084156
242	0.1886220456
243	0.1885711742
244	0.1884304827
245	0.1883038101
246	0.1881817907
247	0.1880286956
248	0.1879264127
249	0.1878165367
250	0.1876510725
251	0.1875269586
252	0.1873690169
253	0.1872705671
254	0.1872262873
255	0.1871136459
256	0.1869838223
257	0.18686929
258	0.1867173823
259	0.1865475902
260	0.1864153278
261	0.1863207567
262	0.1862390851
263	0.1861179348
264	0.1859447788
